backop,heuristics,c,iterations,seed,num_games,domain,max_alg,min_alg,num_of_games,num_of_draws,max_win,min_win,total_win_games,max_time,min_time
MINMAX,3,2.5,1000,0,1000,0,MINMAX,UCT,1000,197,0.995019,0.004981,799,0.008106,0.009599
MINMAX,6,2.5,1000,0,1000,0,MINMAX,UCT,1000,231,0.9987,0.0013,768,0.008052,0.00861
MINMAX,3,2.5,5000,0,1000,0,MINMAX,UCT,1000,377,0.961477,0.038523,599,0.033276,0.028793
MINMAX,6,2.5,5000,0,1000,0,MINMAX,UCT,1000,278,0.977839,0.022161,706,0.019138,0.015138
MINMAX,3,2.5,10000,0,1000,0,MINMAX,UCT,1000,490,0.923529,0.076471,471,0.027773,0.021423
MINMAX,6,2.5,10000,0,1000,0,MINMAX,UCT,1000,337,0.966817,0.033183,641,0.035014,0.024678
MINMAX,3,2.5,15000,0,1000,0,MINMAX,UCT,1000,504,0.909274,0.090726,451,0.04125,0.031137
MINMAX,6,2.5,15000,0,1000,0,MINMAX,UCT,1000,352,0.966049,0.033951,626,0.051592,0.034099
MINMAX,3,2.5,25000,0,1000,0,MINMAX,UCT,1000,571,0.862471,0.137529,370,0.0644,0.046402
MINMAX,6,2.5,25000,0,1000,0,MINMAX,UCT,1000,364,0.965409,0.034591,614,0.086189,0.054712
MINMAX,3,2.5,50000,0,1000,0,MINMAX,UCT,1000,620,0.794737,0.205263,302,0.13237,0.092647
MINMAX,6,2.5,50000,0,1000,0,MINMAX,UCT,1000,386,0.959283,0.040717,589,0.179565,0.11032
MINMAX,3,2.5,75000,0,1000,0,MINMAX,UCT,1000,634,0.737705,0.262295,270,1.130085,0.785612
MINMAX,6,2.5,75000,0,1000,0,MINMAX,UCT,1000,384,0.952922,0.047078,587,0.273095,0.161679
MINMAX,3,2.5,100000,0,1000,0,MINMAX,UCT,1000,659,0.721408,0.278592,246,0.27565,0.186898
MINMAX,6,2.5,100000,0,1000,0,MINMAX,UCT,1000,380,0.946774,0.053226,587,0.357054,0.215671
DP,3,2.5,100000,0,1000,0,UCT,UCT,1000,53,0,1,0,0.552363,0.580676
DP,3,2.5,10000,0,1000,0,UCT,UCT,1000,79,0.003257,0.996743,3,0.046137,0.047598
DP,3,2.5,1000,0,1000,0,UCT,UCT,1000,141,0.008149,0.991851,7,0.00405,0.004095
DP,3,2.5,15000,0,1000,0,UCT,UCT,1000,76,0,1,0,0.074419,0.077434
DP,3,2.5,50000,0,1000,0,UCT,UCT,1000,60,0,1,0,0.256127,0.268004
DP,3,2.5,5000,0,1000,0,UCT,UCT,1000,106,0.004474,0.995526,4,0.044789,0.046475
DP,6,2.5,100000,0,1000,0,UCT,UCT,1000,549,0.72949,0.27051,329,0.72853,0.711431
DP,6,2.5,10000,0,1000,0,UCT,UCT,1000,539,0.737527,0.262473,340,0.060382,0.059606
DP,6,2.5,1000,0,1000,0,UCT,UCT,1000,516,0.652893,0.347107,316,0.004721,0.004661
DP,6,2.5,15000,0,1000,0,UCT,UCT,1000,539,0.718004,0.281996,331,0.093995,0.09312
DP,6,2.5,25000,0,1000,0,UCT,UCT,1000,513,0.765914,0.234086,373,0.163348,0.160741
DP,6,2.5,50000,0,1000,0,UCT,UCT,1000,528,0.699153,0.300847,330,0.349276,0.342256
DP,6,2.5,5000,0,1000,0,UCT,UCT,1000,491,0.734774,0.265226,374,0.028399,0.028025
DP,3,2.5,20000,0,1000,0,UCT,UCT,1000,71,0.001076,0.998924,1,0.093783,0.097593
DP,3,2.5,30000,0,1000,0,UCT,UCT,1000,56,0.001059,0.998941,1,0.14617,0.15258
DP,3,2.5,40000,0,1000,0,UCT,UCT,1000,70,0,1,0,0.200744,0.209576
DP,3,2.5,70000,0,1000,0,UCT,UCT,1000,64,0.002137,0.997863,2,0.366898,0.383878
DP,3,2.5,80000,0,1000,0,UCT,UCT,1000,56,0,1,0,0.424047,0.444685
CDP,3,2.5,1000,0,1000,0,UCT,UCT,1000,462,0.734201,0.265799,395,0.004491,0.004822
CDP,6,2.5,1000,0,1000,0,UCT,UCT,1000,465,0.536449,0.463551,287,0.005446,0.005919
CDP,3,2.5,5000,0,1000,0,UCT,UCT,1000,542,0.718341,0.281659,329,0.025532,0.027488
CDP,6,2.5,5000,0,1000,0,UCT,UCT,1000,493,0.516765,0.483235,262,0.033162,0.036952
CDP,3,2.5,10000,0,1000,0,UCT,UCT,1000,585,0.669879,0.33012,278,0.09829,0.10558
CDP,6,2.5,10000,0,1000,0,UCT,UCT,1000,508,0.502033,0.497967,247,0.071272,0.080319
CDP,3,2.5,15000,0,1000,0,UCT,UCT,1000,615,0.638961,0.361039,246,0.08442,0.091026
CDP,6,2.5,15000,0,1000,0,UCT,UCT,1000,521,0.526096,0.473904,252,0.111703,0.125854
CDP,6,2.5,25000,0,1000,0,UCT,UCT,1000,524,0.544118,0.455882,259,0.192675,0.217652
CDP,3,2.5,50000,0,1000,0,UCT,UCT,1000,651,0.541547,0.458453,189,0.308495,0.335844
CDP,6,2.5,50000,0,1000,0,UCT,UCT,1000,513,0.527721,0.472279,257,0.410287,0.463043
CDP,6,2.5,75000,0,1000,0,UCT,UCT,1000,529,0.537155,0.462845,253,0.630831,0.711581
CDP,3,2.5,100000,0,1000,0,UCT,UCT,1000,637,0.5427,0.4573,197,0.654199,0.713363
CDP,6,2.5,100000,0,1000,0,UCT,UCT,1000,505,0.486869,0.513131,241,0.847496,0.951917
CDP,3,2.5,20000,0,1000,0,UCT,UCT,1000,604,0.60101,0.39899,238,0.12091,0.12983
CDP,3,2.5,30000,0,1000,0,UCT,UCT,1000,618,0.568063,0.431937,217,0.182138,0.196652
CDP,3,2.5,40000,0,1000,0,UCT,UCT,1000,630,0.559459,0.440541,207,0.249507,0.26743
CDP,3,2.5,70000,0,1000,0,UCT,UCT,1000,642,0.555866,0.444134,199,0.457239,0.49323
CDP,3,2.5,80000,0,1000,0,UCT,UCT,1000,657,0.521866,0.478134,179,0.524632,0.566239
