pits,heuristics,c,iterations,seed,num_games,backop,domain, max_alg, num_of_games,max_time,avg_score
50,1,5,1000,0,1000,1,5,UCT,1000,0.002395,208.65297
50,1,5,1000,0,1000,2,5,UCT,1000,0.003733,579.00301
50,1,5,1000,0,1000,6,5,UCT,1000,0.003272,219.093784
50,1,5,5000,0,1000,1,5,UCT,1000,0.015447,201.577618
50,1,5,5000,0,1000,2,5,UCT,1000,0.025392,578.665466
50,1,5,5000,0,1000,6,5,UCT,1000,0.021405,202.939383
50,1,5,10000,0,1000,1,5,UCT,1000,0.452141,200.155544
50,1,5,10000,0,1000,2,5,UCT,1000,0.056923,581.388963
50,1,5,10000,0,1000,6,5,UCT,1000,0.047592,200.214573
50,1,5,15000,0,1000,1,5,UCT,1000,0.054867,199.750871
50,1,5,15000,0,1000,2,5,UCT,1000,0.091555,580.828756
50,1,5,15000,0,1000,6,5,UCT,1000,0.076654,199.382269
50,1,5,25000,0,1000,1,5,UCT,1000,0.100418,198.965673
50,1,5,25000,0,1000,2,5,UCT,1000,0.165339,574.44079
50,1,5,25000,0,1000,6,5,UCT,1000,0.13942,198.816588
50,1,5,50000,0,1000,1,5,UCT,1000,0.22735,198.782624
50,1,5,50000,0,1000,6,5,UCT,1000,0.317669,198.238475
50,1,5,75000,0,1000,1,5,UCT,1000,0.364226,198.657754
50,1,5,75000,0,1000,6,5,UCT,1000,0.511312,198.137141
50,1,5,100000,0,1000,1,5,UCT,1000,0.507859,198.421984
50,1,5,100000,0,1000,6,5,UCT,1000,0.711049,197.859719
